DATE,TXS,FEE_PAYERS,DEX
2022-10-31,18682,12110,Stepn
2022-10-31,18775,1057,Orca
2022-10-31,34,24,Mercurial
2022-10-31,98,31,Saber
2022-10-31,4857,55,Aldrin
2022-10-31,21,2,Mango Markets
2022-10-31,4296431,824,Serum
2022-10-31,115064,8080,Jupiter Aggregator
2022-10-31,44,5,Step Finance
2022-10-31,3674,6,Lifinity
2022-10-31,52787,1905,Raydium
2022-10-31,148,7,Invariant
2022-10-31,83920,6,GooseFX
2022-10-31,1,1,Cykura
2022-09-20,112442,10016,Jupiter Aggregator
2022-09-20,188,27,Mercurial
2022-09-20,82903,5,GooseFX
2022-09-20,288,42,Saber
2022-09-20,114,12,Cykura
2022-09-20,3060802,408,Mango Markets
2022-09-20,426,5,Invariant
2022-09-20,23208,15028,Stepn
2022-09-20,74,6,Step Finance
2022-09-20,11174,1393,Orca
2022-09-20,623,6,Lifinity
2022-09-20,60795,2295,Raydium
2022-09-20,1,1,Crema
2022-09-20,6326056,538,Serum
2022-09-20,3527,82,Aldrin
2023-02-14,936387,295,Openbook
2023-02-14,44567,2286,Raydium
2023-02-14,9578,6522,Stepn
2023-02-14,153,9,Lifinity
2023-02-14,19,3,Step Finance
2023-02-14,66,17,Saber
2023-02-14,149,53,Serum
2023-02-14,17,2,Invariant
2023-02-14,82901,1,GooseFX
2023-02-14,15842,1333,Orca
2023-02-14,19,15,Mercurial
2023-02-14,2753,36,Aldrin
2023-02-14,172972,10799,Jupiter Aggregator
2023-06-22T00:00:00.000Z,1194,7,Aldrin
2023-06-22T00:00:00.000Z,3,3,Mercurial
2023-06-22T00:00:00.000Z,477593,96,Openbook
2023-06-22T00:00:00.000Z,4,2,Mango Markets
2023-06-22T00:00:00.000Z,1538,4,Lifinity
2023-06-22T00:00:00.000Z,58479,1240,Raydium
2023-06-22T00:00:00.000Z,4270,6,Saber
2023-06-22T00:00:00.000Z,234,1,GooseFX
2023-06-22T00:00:00.000Z,59282,872,Orca
2023-06-22T00:00:00.000Z,50,25,Serum
2023-06-22T00:00:00.000Z,3200303,6476,Jupiter Aggregator
2023-06-22T00:00:00.000Z,12,1,Invariant
2023-06-22T00:00:00.000Z,6637,4455,Stepn
2023-06-22T00:00:00.000Z,67,3,Step Finance
2023-04-08,2541,5,Lifinity
2023-04-08,838958,7182,Jupiter Aggregator
2023-04-08,141,13,Saber
2023-04-08,2,2,Cykura
2023-04-08,419,4,Step Finance
2023-04-08,1859,21,Aldrin
2023-04-08,8177,725,Orca
2023-04-08,10720,7084,Stepn
2023-04-08,47269,1135,Raydium
2023-04-08,84541,1,GooseFX
2023-04-08,225,53,Serum
2023-04-08,2,1,Invariant
2023-04-08,431909,130,Openbook
2023-04-08,16,10,Mercurial
2023-04-11,85029,1448,Raydium
2023-04-11,18,2,Invariant
2023-04-11,183,57,Serum
2023-04-11,1204,4,Step Finance
2023-04-11,250,11,Saber
2023-04-11,4634,26,Aldrin
2023-04-11,615463,170,Openbook
2023-04-11,39507,1129,Orca
2023-04-11,19340,8,Lifinity
2023-04-11,84511,1,GooseFX
2023-04-11,1888521,9686,Jupiter Aggregator
2023-04-11,26,15,Mercurial
2023-04-11,12649,6928,Stepn
2023-05-05,308,7,Saber
2023-05-05,279297,8216,Raydium
2023-05-05,3138533,22445,Jupiter Aggregator
2023-05-05,2044,27,Aldrin
2023-05-05,7404,4948,Stepn
2023-05-05,13,5,Mercurial
2023-05-05,2549283,335,Openbook
2023-05-05,81613,1,GooseFX
2023-05-05,980,4,Lifinity
2023-05-05,71,20,Invariant
2023-05-05,867,4,Step Finance
2023-05-05,245,44,Serum
2023-05-05,17279,1817,Orca
2023-05-02,747363,138,Openbook
2023-05-02,7835,5206,Stepn
2023-05-02,11325,1493,Orca
2023-05-02,651,6,Lifinity
2023-05-02,25624,1595,Raydium
2023-05-02,16,7,Mercurial
2023-05-02,1837,28,Aldrin
2023-05-02,1058311,12703,Jupiter Aggregator
2023-05-02,202,56,Serum
2023-05-02,83914,2,GooseFX
2023-05-02,163,11,Saber
2023-05-02,535,4,Step Finance
2022-12-18,3131,39,Aldrin
2022-12-18,299878,60,Openbook
2022-12-18,29,20,Mercurial
2022-12-18,17,3,Invariant
2022-12-18,3743,660,Orca
2022-12-18,17155,11577,Stepn
2022-12-18,90,11,Saber
2022-12-18,23913,867,Raydium
2022-12-18,85551,1,GooseFX
2022-12-18,857,148,Serum
2022-12-18,82050,6320,Jupiter Aggregator
2022-12-18,30,2,Step Finance
2022-12-18,70,4,Lifinity
2022-10-10,2227322,361,Mango Markets
2022-10-10,4,4,Crema
2022-10-10,7,3,Cykura
2022-10-10,73,3,Invariant
2022-10-10,30725,18825,Stepn
2022-10-10,103,6,Step Finance
2022-10-10,10605762,502,Serum
2022-10-10,50,25,Mercurial
2022-10-10,84246,4,GooseFX
2022-10-10,59645,2120,Raydium
2022-10-10,64670,8706,Jupiter Aggregator
2022-10-10,268,12,Lifinity
2022-10-10,9266,1190,Orca
2022-10-10,147,37,Saber
2022-10-10,4264,73,Aldrin
2022-10-04,2,2,Cykura
2022-10-04,30603,18783,Stepn
2022-10-04,50721,2385,Raydium
2022-10-04,4710,76,Aldrin
2022-10-04,150,7,Invariant
2022-10-04,206,35,Saber
2022-10-04,80974,2,GooseFX
2022-10-04,3,3,Crema
2022-10-04,11435,1404,Orca
2022-10-04,69,6,Step Finance
2022-10-04,2978796,467,Mango Markets
2022-10-04,357,13,Lifinity
