CREATION_DATE,ADDRESS
2021-09-05,25379
2021-09-06,30561
2021-09-07,37875
2021-09-08,31105
2021-09-09,46717
2021-09-10,34842
2021-09-11,34786
2021-09-12,34923
2021-09-13,32835
2021-09-14,15979
2021-09-15,11276
2021-09-16,28240
2021-09-17,27193
2021-09-18,24088
2021-09-19,16566
2021-09-20,21928
2021-09-21,22507
2021-09-22,30657
2021-09-23,25143
2021-09-24,25246
2021-09-25,19074
2021-09-26,18440
2021-09-27,19561
2021-09-28,24808
2021-09-29,25337
2021-09-30,19848
2021-10-01,41642
2021-10-02,28478
2021-10-03,40695
2021-10-04,33325
2021-10-05,29806
2021-10-06,30729
2021-10-07,37455
2021-10-08,71214
2021-10-09,40563
2021-10-10,52560
2021-10-11,30515
2021-10-12,29888
2021-10-13,26837
2021-10-14,30859
2021-10-15,36291
2021-10-16,46074
2021-10-17,36158
2021-10-18,59896
2021-10-19,20145
2021-10-20,24647
2021-10-21,37813
2021-10-22,27841
2021-10-23,23698
2021-10-24,37144
2021-10-25,25558
2021-10-26,25963
2021-10-27,25980
2021-10-28,35055
2021-10-29,29088
2021-10-30,33351
2021-10-31,24711
2021-11-01,28362
2021-11-02,30756
2021-11-03,33065
2021-11-04,31768
2021-11-05,31852
2021-11-06,30570
2021-11-07,30373
2021-11-08,40026
2021-11-09,36039
2021-11-10,36227
2021-11-11,35976
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-15,33433
2021-11-16,0
2021-11-17,26713
2021-11-18,0
2021-11-19,0
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,28088
2021-11-24,34312
2021-11-25,37175
2021-11-26,41194
2021-11-27,29764
2021-11-28,26257
2021-11-29,38772
2021-11-30,48632
2021-12-01,33031
2021-12-02,26188
2021-12-03,27879
2021-12-04,23664
2021-12-05,32626
2021-12-06,26316
2021-12-07,33087
2021-12-08,25198
2021-12-09,21756
2021-12-10,26110
2021-12-11,28752
2021-12-12,24469
2021-12-13,22744
2021-12-14,30878
2021-12-15,29059
2021-12-16,24572
2021-12-17,22940
2021-12-18,19235
2021-12-19,21853
2021-12-20,23942
2021-12-21,30816
2021-12-22,24003
2021-12-23,30896
2021-12-24,22099
2021-12-25,19174
2021-12-26,20135
2021-12-27,25015
2021-12-28,20058
2021-12-29,28024
2021-12-30,21547
2021-12-31,18635
2022-01-01,17046
2022-01-02,21716
2022-01-03,22327
2022-01-04,35837
2022-01-05,25442
2022-01-06,33196
2022-01-07,21785
2022-01-08,24346
2022-01-09,25832
2022-01-10,25185
2022-01-11,30941
2022-01-12,40796
2022-01-13,39612
2022-01-14,47162
2022-01-15,56762
2022-01-16,60023
2022-01-17,69303
2022-01-18,78666
2022-01-19,85491
2022-01-20,87182
2022-01-21,56332
2022-01-22,39656
2022-01-23,100000
2022-01-24,95785
2022-01-25,100000
2022-01-26,100000
2022-01-27,100000
2022-01-28,100000
2022-01-29,100000
2022-01-30,100000
2022-01-31,86480
2022-02-01,58806
2022-02-02,50981
2022-02-03,45278
2022-02-04,45807
2022-02-05,41965
2022-02-06,30563
2022-02-07,33914
2022-02-08,30058
2022-02-09,35663
2022-02-10,49116
2022-02-11,57305
2022-02-12,54318
2022-02-13,52947
2022-02-14,68587
2022-02-15,81697
2022-02-16,71031
2022-02-17,23693
2022-02-18,22686
2022-02-19,28623
2022-02-20,26693
2022-02-21,33241
2022-02-22,63367
2022-02-23,75704
2022-02-24,36473
2022-02-25,18715
2022-02-26,18335
