CREATION_DATE,Days since last use,Days since creation
2020-10-07,739.8728735778528,856.8129449447916
2020-10-14,717.6792098138999,849.8129449447916
2020-10-21,634.5202903020393,842.8129449447916
2020-10-28,599.1564579356807,835.8129449447916
2020-11-04,803.0248232678177,828.8129449447916
2020-11-11,808.974445155564,821.8129449447916
2020-11-18,767.9669058969685,814.8129449447916
2020-11-25,732.9515582819574,807.8129449447916
2020-12-02,735.3961763360011,800.8129449447916
2020-12-09,626.7268781480958,793.8129449447916
2020-12-16,678.4714889049117,786.8129449447916
2020-12-23,,779.8129449447916
2020-12-30,,772.8129449447916
2021-01-06,719.0446893906437,765.8129449447916
2021-01-13,731.4311457399898,758.8129449447916
2021-01-20,730.8431003290137,751.8129449447916
2021-01-27,611.5341769877313,744.8129449447916
2021-02-03,573.0579446985173,737.8129449447916
2021-02-10,561.7569712418392,730.8129449447916
2021-02-17,527.1350375039395,723.8129449447916
2021-02-24,570.2257583884959,716.8129449447916
2021-03-03,545.2536072740011,709.8129449447916
2021-03-10,606.4711714073555,702.8129449447916
2021-03-17,651.102058733143,695.8129449447916
2021-03-24,507.9588432160825,688.8129449447916
2021-03-31,531.1644154547964,681.8129449447916
2021-04-07,509.5673761716651,674.8129449447916
2021-04-14,523.7096979573998,667.8129449447916
2021-04-21,532.7916444300715,660.8129449447916
2021-04-28,552.9654379195323,653.8129449447916
2021-05-05,507.6622207397342,646.8129449447916
2021-05-12,489.0052310304815,639.8129449447916
2021-05-19,542.5176907438336,632.8129449447916
2021-05-26,565.3761526307951,625.8129449447916
2021-06-02,,618.8129449447916
2021-06-09,,611.8129449447916
2021-06-16,515.6593434179324,604.8129449447916
2021-06-23,529.2427019368265,597.8129449447916
2021-06-30,497.5344809827828,590.8129449447916
2021-07-07,473.6675212675466,583.8129449447916
2021-07-14,473.3835397509563,576.8129449447916
2021-07-21,458.70841908249685,569.8129449447916
2021-07-28,478.1606454156348,562.8129449447916
2021-08-04,477.0217158846794,555.8129449447916
2021-08-11,467.9584184388175,548.8129449447916
2021-08-18,459.2884027217323,541.8129449447916
2021-08-25,,534.8129449447916
