Program1,Program2,Name1,Name2,weight,Timedelta
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,Pyth: Pyth Oracle,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,traderDnaR5w6Tcoi3NFm53i48FTDNbGjBSZwWXDRrg,Pyth: Pyth Oracle,traderDnaR5w6Tcoi3NFm53i48FTDNbGjBSZwWXDRrg,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,F6fmDVCQfvnEq2KR8hhfZSEczfM9JK9fWbCsYJNbTGn7,Pyth: Pyth Oracle,F6fmDVCQfvnEq2KR8hhfZSEczfM9JK9fWbCsYJNbTGn7,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,8BYmYs3zsBhftNELJdiKsCN2WyCBbrTwXd6WG4AFPr6n,Pyth: Pyth Oracle,8BYmYs3zsBhftNELJdiKsCN2WyCBbrTwXd6WG4AFPr6n,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,Pyth: Pyth Oracle,Raydium: Raydium Route Swap Program Id,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,stkBL96RZkjY5ine4TvPihGqW8UHJfch2cokjAPzV8i,Pyth: Pyth Oracle,stkBL96RZkjY5ine4TvPihGqW8UHJfch2cokjAPzV8i,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,sUHacbSNjRma4T7tSHbGxcQPG3HgqVemmRshmtW8pht,Pyth: Pyth Oracle,sUHacbSNjRma4T7tSHbGxcQPG3HgqVemmRshmtW8pht,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,SHARKobtfF1bHhxD2eqftjHBdVSCbKo9JtgK71FhELP,Pyth: Pyth Oracle,Sharky Finance Program,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Pyth: Pyth Oracle,Raydium: Raydium Liquidity Pool V4,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTzeNMm2gRZ,Pyth: Pyth Oracle,Metaplex: Metaplex Nft Candy Machine V2,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu,Pyth: Pyth Oracle,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,EXBuYPNgBUXMTsjCbezENRUtFQzjUNZxvPGTd11Pznk5,Pyth: Pyth Oracle,EXBuYPNgBUXMTsjCbezENRUtFQzjUNZxvPGTd11Pznk5,0.0,7d
