BLOCKCHAIN,CREATOR,ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,LABEL,ADDRESS_NAME
solana,flipside,ALLGnZikNaJQeN4KCAbDjZRSzvSefUdeTpk18yfizZvT,dapp,governance,realms,allovr dao
solana,flipside,AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6,dex,general_contract,aldrin,aldrin amm
solana,flipside,FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,dapp,oracle,pyth,pyth oracle
solana,flipside,DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,dex,swap_router,orca,orca token swap
solana,flipside,Ed25519SigVerify111111111111111111111111111,chadmin,general_contract,solana,new_ed25519_instruction
solana,flipside,vau1zxA2LbssAUEF7Gpw91zMM1LvXrvpzJtmZ58rPsn,nft,general_contract,metaplex,metaplex token vault
solana,flipside,5fNfvyp5czQVX77yoACa3JJVEhdRaWjPuazuWgjhTqEH,dex,general_contract,mango markets,mango markets v2
solana,flipside,5hAykmD4YGcQ7Am3N7nC9kyELq6CThAkU82nhNKDJiCy,dapp,governance,realms,socean
solana,flipside,GqTPL6qRf5aUuqscLh8Rg2HTxPUXfhhAXDptTLhp1t2J,dapp,governance,realms,mango dao
solana,flipside,auctxRXPeJoc4817jDhf4HbjnhEcr1cCXenosMhK5R8,nft,general_contract,metaplex,metaplex nft auction
solana,flipside,9HzJyW1qZsEiSfMUf6L2jo3CcTKAyBmSyKdwQeYisHrC,dex,general_contract,raydium,Raydium IDO
solana,flipside,9KEPoZmtHUrBbhWN1v1KWLMkkvwY6WLtAVUCPRtRjP4z,dex,pool,raydium,Raydium Stake V5
solana,flipside,BrEAK7zGZ6dM71zUDACDqJnekihmwF15noTddWTsknjC,dapp,general_contract,break solana,break solana
solana,flipside,22Y43yTVxuUkoRKdm9thyRhQ3SdgQS7c7kB6UNCiaczD,dex,general_contract,serum,serum swap
solana,flipside,27haf8L6oxUeXrHrgEgsexjSY5hbVUWEmvv9Nyxg8vQv,dex,pool,raydium,raydium liquidity pool v3
solana,flipside,Stake11111111111111111111111111111111111111,chadmin,general_contract,solana,stakeinstruction
solana,flipside,SwaPpA9LAaLfeLi3a68M4DjnLqgtticKg6CnyNwgAC8,chadmin,general_contract,solana,swap program
solana,flipside,TWAPR9s1DEhrr8tuFbwEPws5moHXebMotqU85wwVmvU,dex,general_contract,aldrin,aldrin dtwap
solana,flipside,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,chadmin,general_contract,solana,token program
solana,flipside,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,chadmin,general_contract,solana,token 2022 program
solana,flipside,Vote111111111111111111111111111111111111111,chadmin,general_contract,solana,voteinstruction
solana,flipside,WormT3McKhFJ2RkiGpdw9GKvNCrB2aB54gb2uV9MfQC,layer2,bridge,wormhole,wormhole
solana,flipside,WvmTNLpGMVbwJVYztYL4Hnsy82cJhQorxjnnXcRm3b6,dapp,pool,bonfida,bonfida pool
solana,flipside,ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD,dex,general_contract,zeta,zeta dex
solana,flipside,A7kmu2kUcnQwAVn8B4znQmGJeUrsJ1WEhYVMtmiBLkEr,dapp,governance,realms,solend dao
solana,flipside,A7p8451ktDCHq5yYaHczeLMYsjRsAkzc3hCXcSrwYHU7,nft,marketplace,digitaleyes,digitaleyes nft marketplace
solana,flipside,DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,dapp,oracle,switchboard,switchboard oracle
solana,flipside,AVoAYTs36yB5izAaBkxRG67wL1AMwG3vo41hKtUSb8is,dapp,governance,realms,serum
solana,flipside,CrX7kMhLC3cSsXJdT7JDgqrRVWGnUpX3gfEfxxU2NVLi,defi,general_contract,lido,lido for solana
solana,flipside,Crt7UoUR6QgrFrN7j8rmSQpUTNWNSitSwWvsWGf1qZ5t,dex,swap_router,saber,Saber Router
solana,flipside,rinajRPUgiiW2rG6uieXvcNNQNaWr9ZcMmqo28VvXfa,dex,pool,aldrin,aldrin staking
solana,flipside,EUqojwWA2rd19FZrzeBncJsm38Jm1hEhE3zsmX3bRc2o,dex,general_contract,serum,serum dex v2
solana,flipside,4ckmDgGdxQoPDLUkDT3vHgSAkzA3QRdNq5ywwY4sUSJn,dex,general_contract,serum,serum dex v1
solana,flipside,CURVGoZn8zycx6FXwwevgBTB2gVvdbGTEpvMJDbgs2t4,dex,general_contract,aldrin,aldrin amm v2
solana,flipside,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,nft,general_contract,metaplex,metaplex token metadata
solana,flipside,mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,dex,general_contract,mango markets,Mango Markets
solana,flipside,namesLPneVptA9Z5rqUDD9tMTWEJwofgaYwp8cawRkX,chadmin,general_contract,solana,name service
solana,flipside,p1exdMJcjVao65QdewkaZRUnU6VPSXhus9n2GzWfh98,nft,general_contract,metaplex,metaplex program
solana,flipside,CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,nft,marketplace,solanart,Solanart NFT Marketplace
solana,flipside,7vxeyaXGLqcp66fFShqUdHxdacp4k4kwUpRSSeoZLCZ4,defi,pool,solfarm,SOLfarm Vault
solana,flipside,9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,dex,general_contract,serum,serum dex v3
solana,flipside,617jbWo616ggkDxvW1Le8pV38XLbVSyWY8ae6QUmGBAU,nft,marketplace,solsea,Solsea NFT Marketplace
solana,flipside,Config1111111111111111111111111111111111111,chadmin,general_contract,solana,config_instruction
solana,flipside,jCebN34bUfdeUYJT13J1yG16XWQpt5PDx6Mse9GUqhR,dapp,general_contract,bonfida,bonfida name service
solana,flipside,BHJ4tRcogS88tUhYotPfYWDjR4q7MGdizdiguY3N54rb,dapp,general_contract,dispatch protocol,dispatch protocol
solana,flipside,BJ3jrUzddfuSrZHXSCxMUUQsjKEyLmuuyZebkcaFp2fg,dex,general_contract,serum,serum dex v1
solana,flipside,BPFLoader1111111111111111111111111111111111,chadmin,general_contract,solana,bpf loader
solana,flipside,BPFLoader2111111111111111111111111111111111,chadmin,general_contract,solana,bpf loader 2
solana,flipside,BPFLoaderUpgradeab1e11111111111111111111111,chadmin,general_contract,solana,loaderinstruction
solana,flipside,cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTzeNMm2gRZ,nft,contract_deployer,metaplex,metaplex nft candy machine v2
solana,flipside,cndyAnrLdpjq1Ssp1z8xxDsB8dxe7u4HL5Nxi2K5WXZ,nft,contract_deployer,metaplex,metaplex nft candy machine v1
