FriendlyName,Abbreviation,Category,VoteKey,Network,Tags,LogoURI,Flag,ADDRESS
TensorSwap Program,TensorSwap Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1570907127287259136/qujno7O4_400x400.jpg,,TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN
Token Program,,programs,,"custom,devnet,testnet,mainnet",[],,,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
Unique Club Program,Unique Club Program,programs,,mainnet,[],,,UNQc364EDzKQqfSW1Fnhfam2fvsFGVdVqg77kpBqRSe
Unique Escrow Program,Unique Escrow Program,programs,,mainnet,[],,,UNQexJ9r9nooPc8y9cWDWNSXSbz1eyggV7K7szbzsXt
Unique Governance Program,Unique Governance Program,programs,,mainnet,[],,,UNQgUq3jtWnEmQraenUckLda9ueYzNc2uywWVPcMC4D
Friktion Program,Friktion Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1560317521730871296/YgRjgWDJ_400x400.png,,VoLT1mJz1sbnxwq5Fv2SXjdVDgPXrb9tJyC8WpMDkSp
Vote Program,,programs,,"custom,devnet,testnet,mainnet",[],,,Vote111111111111111111111111111111111111111
Wormhole NFT Bridge,NFT Bridge,programs,,mainnet,['NFT bridge'],,,WnFt12ZrnzZrFZkt2xsNsaNWoQribnuQ5B5FrDbwDhD
Wormhole,,programs,,mainnet,[],,,WormT3McKhFJ2RkiGpdw9GKvNCrB2aB54gb2uV9MfQC
Serum Pool Program,,programs,,mainnet,['exploit'],https://pbs.twimg.com/profile_images/1546403916140761089/cHHwcTe-_400x400.png,scammed,WvmTNLpGMVbwJVYztYL4Hnsy82cJhQorxjnnXcRm3b6
Hedgehog Markets P2P,SOL,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1548160075121840130/uiNOGgGJ_400x400.jpg,,Yb4spZYFpgad4pDvV1mdU7pFU9vQWNeDS4degy7eR1u
Zeta Program,Zeta,programs,,mainnet,[],"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,f_auto,q_auto:eco,dpr_1/bpujp5jytnshoqrarfwy",,ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD
01 Program,01 Program,programs,,mainnet,[],,,Zo1ggzTUKMY5bYnDvT5mtVeZxzf2FaLTbKkmvGUhUQk
NFT Auction Program,,programs,,"devnet,testnet,mainnet",[],,,auctxRXPeJoc4817jDhf4HbjnhEcr1cCXenosMhK5R8
Chainlink Program,Chainlink,programs,,mainnet,[],https://cryptologos.cc/logos/chainlink-link-logo.png,,cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ
NFT Candy Machine v2 Program,,programs,,"devnet,testnet,mainnet",[],,,cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTzeNMm2gRZ
NFT Candy Machine Program,,programs,,"devnet,testnet,mainnet",[],,,cndyAnrLdpjq1Ssp1z8xxDsB8dxe7u4HL5Nxi2K5WXZ
Drift Program,Drift,programs,,mainnet,['Perp Swaps'],,,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN
Exchange Art Auctions Program,Exchange Art Auctions Program,programs,,mainnet,[],,,exAuvFHqXXbiLrM4ce9m1icwuSyXytRnfBkajukDFuB
Exchange Art Offers Program,Exchange Art Offers Program,programs,,mainnet,[],,,exofLDXJoFji4Qyf9jSAH59J4pp82UT5pmGgR6iT24Z
HadeSwap,HadeSwap Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1613135820294168577/TUlcbyvE_400x400.jpg,,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu
Token Metadata Program,,programs,,"devnet,testnet,mainnet",[],,,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s
Mango Program v3,,programs,,mainnet,[],https://global.discourse-cdn.com/standard10/uploads/mango/original/1X/66a85d6b21c3555fbc8d415e389ba566fccd4127.png,,mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68
Name Service Program,,programs,,"devnet,testnet,mainnet",[],,,namesLPneVptA9Z5rqUDD9tMTWEJwofgaYwp8cawRkX
Bonfida Name Tokenizer Program,Bonfida Name Tokenizer Program,programs,,mainnet,['Name Service'],https://pbs.twimg.com/profile_images/1546403916140761089/cHHwcTe-_400x400.png,,nftD3vbNkNqfj2Sd3HZwbpw4BxxKWr4AjGb9X38JeZk
Metaplex Program,,programs,,"devnet,testnet,mainnet",[],,,p1exdMJcjVao65QdewkaZRUnU6VPSXhus9n2GzWfh98
PsyFinance Staking Program,PsyFinance Staking,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1561846839053254660/AQ89o2jF_400x400.jpg,,pSystkitWgLkzprdAvraP8DSBiXwee715wiSXGJe8yr
OpenBook Program,OpenBook Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1592603543969492993/oZUliEWn_400x400.jpg,,srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX
Tulip Staking Program,Tulip Staking,programs,,mainnet,"['Defi', 'Vaults']",https://s2.coinmarketcap.com/static/img/coins/200x200/10373.png,,stkTLPiBsQBUxDhXgxxsTRtxZ38TLqsqhoMvKMSt8Th
Streamflow Program,Streamflow Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1396561843146080259/VJNtxnX0_400x400.jpg,,strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m
Token Vault Program,,programs,,"devnet,testnet,mainnet",[],,,vau1zxA2LbssAUEF7Gpw91zMM1LvXrvpzJtmZ58rPsn
Orca Whirlpool Program,WhirlPool ,programs,,mainnet,['program'],,,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc
Wormhole Program ,Wormhole Program,programs,,mainnet,['program'],,,worm2ZoG2kUd4vFXhvjh93UUH596ayRfgQ2MgjNMTth
Wormhole Token Bridge,Token Bridge,programs,,mainnet,['bridge'],,,wormDTUJ6AWPNvk59vGQbDvGJmqbDTdgWgAqcLBCgUb
