FriendlyName,Abbreviation,Category,VoteKey,Network,Tags,LogoURI,Flag,ADDRESS
Amulet's CoverProgram,Amulet's CoverProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,8x3i9o22M8tF2SvYgkqUhSZfjKYeKJSi6rPpJnWE99Fi
Raydium IDO Program,,programs,,mainnet,[],https://s2.coinmarketcap.com/static/img/coins/64x64/8526.png,,9HzJyW1qZsEiSfMUf6L2jo3CcTKAyBmSyKdwQeYisHrC
Orca Swap Program v2,,programs,,mainnet,[],,,9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP
Amulet's AuwtTokenProgram,Amulet's AuwtTokenProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,9cwdovuEutgqDfJ9gujdRzTPgKkdJ4UNXkDP9wnxeBkM
Serum Dex Program v3,Serum Dex Program v3,programs,,mainnet,[],https://assets.website-files.com/61382d4555f82a75dc677b6f/61ff21f9dcce3b42bfe4135c_serum%20NOF.png,scammed,9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin
DigitalEyes,DigitalEyes,programs,,mainnet,['Nft Marketplace'],,,A7p8451ktDCHq5yYaHczeLMYsjRsAkzc3hCXcSrwYHU7
PsyOptions Program,PsyOptions Program,programs,,mainnet,[],,,AAcHauRu6eUDePN3hDDAUTbgyRq5xFbRZJCLsUdpBCJb
Amulet's SolStakingProgram,Amulet's SolStakingProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,AFX6h67CCoqcJcoFbq12dabMLDruQ38U2nogpeU7ECLa
Aldrin AMM V1,Aldrin AMM V1,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1427620181552123907/hO88aJ6H_400x400.jpg,,AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6
Associated Token Program,,programs,,"custom,devnet,testnet,mainnet",[],,,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL
Zebec Program,Zebec Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1524086536593375233/wTpZ1Euj_400x400.jpg,,AknC341xog56SrnoK6j3mUvaD1Y7tYayx1sxUGpeYWdX
Serum Dex Program v1,,programs,,mainnet,[],https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/9AaKcdu5eymQwR19qwYFsqiqcXgL3iAxMQyshRpbqg6z/logo.png,scammed,BJ3jrUzddfuSrZHXSCxMUUQsjKEyLmuuyZebkcaFp2fg
Atrix Finance Farm Program,Atrix Finance Farm Program,programs,,mainnet,['Defi'],,,BLDDrex4ZSWBgPYaaH6CQCzkJXWfzCiiur9cSFJT8t3x
Break Solana Program,,programs,,"devnet,testnet,mainnet",[],,,BrEAK7zGZ6dM71zUDACDqJnekihmwF15noTddWTsknjC
Tulip Protocol | Leverage Farming Program,Tulip Protocol Leverage Farming Program,programs,,mainnet,"['Defi', 'Leveraged', 'Farming']",https://s2.coinmarketcap.com/static/img/coins/200x200/10373.png,,Bt2WPMmbwHPk36i4CRucNDyLcmoGdC7xEdrVuxgJaNE6
Acumen Program,,programs,,mainnet,[],,,C64kTdg1Hzv5KoQmZrQRcm2Qz7PkxtFBgw7EpFhvYn8W
Solanart,Solanart,programs,,mainnet,['Nft Marketplace'],,,CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz
Coinable's Program ID,Coinable's Program ID,programs,,mainnet,[],,,CNBLwonD8EHup87p1SK9dypdj4WasTioWzFZWZVP9vbB
Aldrin AMM V2,Aldrin AMM V2,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1427620181552123907/hO88aJ6H_400x400.jpg,,CURVGoZn8zycx6FXwwevgBTB2gVvdbGTEpvMJDbgs2t4
Cypher Program,Cypher Program,programs,,mainnet,[],Cypher Program,,CYPH3o83JX6jY6NkbproSpdmQ5VWJtxjfJ5P8veyYVu3
Dialect Program,Dialect Program,programs,,mainnet,[],,,CeNUxGUsSeb5RuAGvaMLNx3tEZrpBwQqA7Gs99vMPCAb
Code Canvas Program,Code Canvas Program,accounts,,mainnet,[],,,CoCaSGpuNso2yQP3oqi1tXt82wBp3y78SJDwLCboc8WS
Config Program,,programs,,"custom,devnet,testnet,mainnet",[],,,Config1111111111111111111111111111111111111
Genopets Crafting Manager Program,Genopets Crafting Manager Program,programs,,mainnet,[],,,CrAFTUv7zKXBaS5471aCwHx7mq9Jp1eQQB5FQgdiSLyi
Lido for Solana Program,,programs,,mainnet,[],,,CrX7kMhLC3cSsXJdT7JDgqrRVWGnUpX3gfEfxxU2NVLi
Saber Router Program,,programs,,"devnet,mainnet",[],,,Crt7UoUR6QgrFrN7j8rmSQpUTNWNSitSwWvsWGf1qZ5t
Hedgehog Markets Hyperspace Resolver,SOL,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1548160075121840130/uiNOGgGJ_400x400.jpg,,CyX3buQXyW939M5LReVhPGwcTDoPWMAdArehA2aqVRvP
Serum Assert Owner,Serum Assert Owner,programs,,mainnet,[],,,DeJBGdMFa1uynnnKiwrVioatTuHmNLpyFKnmB5kaFdzQ
Orca Swap Program v1,,programs,,mainnet,[],,,DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1
