blockchain,creator,address,label_type,label_subtype,label,address_name,dim_labels_id,inserted_timestamp,modified_timestamp,__row_index
solana,flipside,SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,dapp,token_contract,switchboard,switchboard v2 program,ad4f4ef61c6aece2e61ce3680e539f0d,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,295
solana,flipside,AknC341xog56SrnoK6j3mUvaD1Y7tYayx1sxUGpeYWdX,dapp,token_contract,zebec,zebec program,ac204a31bdf13fdd7ba3cf1b26eb6742,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,296
solana,flipside,Zo1ggzTUKMY5bYnDvT5mtVeZxzf2FaLTbKkmvGUhUQk,defi,general_contract,01 program,01 program,4ce65ceefc1b7aa4f2b90095896ad372,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,297
solana,flipside,JUP5cHjnnCx2DppVsufsLrXs8EBZeEZzGtEK9Gdz6ow,dex,aggregator_contract,jupiter,jupiter swap v5.1,34bbf58db319394257a87e0c3c0353f2,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,298
solana,flipside,traderDnaR5w6Tcoi3NFm53i48FTDNbGjBSZwWXDRrg,dapp,general_contract,star atlas,staratlas marketplace,b632af33af468a2b062a35ca8db72bf0,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,299
solana,flipside,8guzmt92HbM7yQ69UJg564hRRX6N4nCdxWE5L6ENrA8P,dapp,general_contract,famous foxes,famous foxes foxyswap,eded74f89af1fda03b30c409fc0506cc,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,300
solana,flipside,QMNeHCGYnLVDn1icRAfQZpjPLBNkfGbSKRB83G5d8KB,defi,general_contract,quarry,quarry mine,bf30df946092ad24441f8b4224bfc30a,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,301
solana,flipside,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,dex,swap_router,mercurial,Mercurial Stable Swap,63e2f5ce591ab330030333ad21a44d03,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,302
solana,flipside,6UeJYTLU1adaoHWeApWsoj1xNEDbWA2RhM2DLc8CrDDi,defi,general_contract,apricot,apricot finance program,a91ea7bba14f34018f37205cc3fd2ccb,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,303
solana,flipside,27haf8L6oxUeXrHrgEgsexjSY5hbVUWEmvv9Nyxg8vQv,dex,pool,raydium,raydium liquidity pool v3,73d51e7fb6e377f2bef472157cfb8bd8,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,304
