TYPE,DATE,WALLETS,DEX
Signers,2022-11-14,7,Lifinity
Fee Payers,2022-11-14,12494,Stepn
Fee Payers,2022-11-14,1128,Orca
Fee Payers,2022-11-14,3,Cykura
Signers,2022-11-14,91,Mercurial
Signers,2022-11-14,38,Saber
Signers,2022-11-14,8804,Jupiter Aggregator
Signers,2022-11-14,6630,Raydium
Fee Payers,2022-11-14,6,Step Finance
Signers,2022-11-14,3,Cykura
Fee Payers,2022-11-14,36,Saber
Signers,2022-11-14,1941,Serum
Fee Payers,2022-11-14,31,Mercurial
Signers,2022-11-14,85,Mango Markets
Fee Payers,2022-11-14,5,Invariant
Fee Payers,2022-11-14,32,Openbook
Signers,2022-11-14,9,Step Finance
Signers,2022-11-14,8247,Orca
Signers,2022-11-14,54869,Stepn
Fee Payers,2022-11-14,7,Lifinity
Fee Payers,2022-11-14,79,Aldrin
Signers,2022-11-14,5,GooseFX
Signers,2022-11-14,476,Openbook
Fee Payers,2022-11-14,965,Serum
Fee Payers,2022-11-14,8724,Jupiter Aggregator
Signers,2022-11-14,6,Invariant
Fee Payers,2022-11-14,5,GooseFX
Fee Payers,2023-04-20,7,Saber
Signers,2023-04-20,1365,Openbook
Signers,2023-04-20,21,Aldrin
Fee Payers,2023-04-20,11292,Jupiter Aggregator
Fee Payers,2023-04-20,1,GooseFX
Fee Payers,2023-04-20,166,Openbook
Signers,2023-04-20,40,Mercurial
Fee Payers,2023-04-20,3,Invariant
Fee Payers,2023-04-20,38,Serum
Signers,2023-04-20,4,Lifinity
Signers,2023-04-20,1,Mango Markets
Fee Payers,2023-04-20,6199,Stepn
Signers,2023-04-20,39,Serum
Fee Payers,2023-04-20,1,Mango Markets
Signers,2023-04-20,11476,Orca
Signers,2023-04-20,5866,Raydium
Fee Payers,2023-04-20,4,Step Finance
Signers,2023-04-20,1,GooseFX
Signers,2023-04-20,6,Invariant
Fee Payers,2023-04-20,19,Aldrin
Fee Payers,2023-04-20,4,Lifinity
Fee Payers,2023-04-20,1330,Orca
Signers,2023-04-20,8,Saber
Fee Payers,2023-04-20,16,Mercurial
Fee Payers,2023-04-20,2062,Raydium
Signers,2023-04-20,4,Step Finance
Signers,2023-04-20,11361,Jupiter Aggregator
Signers,2023-04-20,23881,Stepn
Fee Payers,2023-06-01T00:00:00.000Z,4,Mercurial
Fee Payers,2023-06-01T00:00:00.000Z,111,Openbook
Fee Payers,2023-06-01T00:00:00.000Z,49,Serum
Signers,2023-06-01T00:00:00.000Z,1,GooseFX
Signers,2023-06-01T00:00:00.000Z,5,Step Finance
Fee Payers,2023-06-01T00:00:00.000Z,4485,Stepn
Fee Payers,2023-06-01T00:00:00.000Z,2112,Raydium
Signers,2023-06-01T00:00:00.000Z,9,Mercurial
Signers,2023-06-01T00:00:00.000Z,5040,Orca
Signers,2023-06-01T00:00:00.000Z,1,Mango Markets
Signers,2023-06-01T00:00:00.000Z,17766,Stepn
Fee Payers,2023-06-01T00:00:00.000Z,1,Mango Markets
Signers,2023-06-01T00:00:00.000Z,4224,Raydium
Signers,2023-06-01T00:00:00.000Z,436,Openbook
Fee Payers,2023-06-01T00:00:00.000Z,4,Lifinity
Fee Payers,2023-06-01T00:00:00.000Z,7476,Jupiter Aggregator
Fee Payers,2023-06-01T00:00:00.000Z,14,Aldrin
Fee Payers,2023-06-01T00:00:00.000Z,1024,Orca
Fee Payers,2023-06-01T00:00:00.000Z,1,GooseFX
Fee Payers,2023-06-01T00:00:00.000Z,9,Saber
Signers,2023-06-01T00:00:00.000Z,12,Saber
Fee Payers,2023-06-01T00:00:00.000Z,2,Invariant
Signers,2023-06-01T00:00:00.000Z,4,Lifinity
Fee Payers,2023-06-01T00:00:00.000Z,4,Step Finance
Signers,2023-06-01T00:00:00.000Z,15,Aldrin
Signers,2023-06-01T00:00:00.000Z,50,Serum
Signers,2023-06-01T00:00:00.000Z,2,Invariant
Signers,2023-06-01T00:00:00.000Z,7503,Jupiter Aggregator
Signers,2022-10-16,9,Invariant
Signers,2022-10-16,10,Lifinity
Signers,2022-10-16,6,Cykura
Fee Payers,2022-10-16,904,Orca
Fee Payers,2022-10-16,2,GooseFX
Fee Payers,2022-10-16,6,Cykura
Fee Payers,2022-10-16,73,Mango Markets
Signers,2022-10-16,7229,Jupiter Aggregator
Signers,2022-10-16,2,GooseFX
Fee Payers,2022-10-16,19,Mercurial
Signers,2022-10-16,116,Mango Markets
Fee Payers,2022-10-16,9,Step Finance
Fee Payers,2022-10-16,66,Aldrin
Fee Payers,2022-10-16,17190,Stepn
Signers,2022-10-16,2,Crema
Fee Payers,2022-10-16,2,Crema
Signers,2022-10-16,14,Step Finance
Signers,2022-10-16,108,Aldrin
Fee Payers,2022-10-16,1626,Raydium
Signers,2022-10-16,4777,Orca
Fee Payers,2022-10-16,7201,Jupiter Aggregator
Fee Payers,2022-10-16,7,Lifinity
Signers,2022-10-16,50,Mercurial
Signers,2022-10-16,36723,Serum
Signers,2022-10-16,4285,Raydium
Fee Payers,2022-10-16,27,Saber
Fee Payers,2022-10-16,605,Serum
Fee Payers,2022-10-16,9,Invariant
Signers,2022-10-16,31,Saber
Signers,2022-10-16,85553,Stepn
Fee Payers,2022-10-01,1,Cykura
Fee Payers,2022-10-01,15,Crema
Fee Payers,2022-10-01,1793,Raydium
Fee Payers,2022-10-01,1145,Orca
Fee Payers,2022-10-01,6,Step Finance
Signers,2022-10-01,83390,Stepn
Signers,2022-10-01,15,Crema
Signers,2022-10-01,12,Lifinity
Fee Payers,2022-10-01,4,GooseFX
Signers,2022-10-01,6,Invariant
Fee Payers,2022-10-01,17543,Stepn
Fee Payers,2022-10-01,9,Lifinity
Signers,2022-10-01,15539,Raydium
Fee Payers,2022-10-01,25,Saber
Signers,2022-10-01,108,Aldrin
Signers,2022-10-01,1,Cykura
Signers,2022-10-01,7717,Jupiter Aggregator
Signers,2022-10-01,590,Mango Markets
Signers,2022-10-01,21469,Serum
Signers,2022-10-01,8242,Orca
Signers,2022-10-01,54,Mercurial
Fee Payers,2022-10-01,449,Serum
Fee Payers,2022-10-01,22,Mercurial
Fee Payers,2022-10-01,2,Invariant
Signers,2022-10-01,7,Step Finance
Fee Payers,2022-10-01,338,Mango Markets
Fee Payers,2022-10-01,62,Aldrin
Signers,2022-10-01,28,Saber
Fee Payers,2022-10-01,7704,Jupiter Aggregator
Signers,2022-10-01,4,GooseFX
Fee Payers,2023-04-04,7,Mercurial
Signers,2023-04-04,1,GooseFX
Fee Payers,2023-04-04,1490,Raydium
Signers,2023-04-04,22753,Stepn
Signers,2023-04-04,6594,Orca
Fee Payers,2023-04-04,5823,Stepn
Fee Payers,2023-04-04,63,Serum
Signers,2023-04-04,239,Aldrin
Signers,2023-04-04,1,Invariant
Signers,2023-04-04,21,Mercurial
Fee Payers,2023-04-04,1,Invariant
Signers,2023-04-04,1096,Openbook
Fee Payers,2023-04-04,1,Mango Markets
Fee Payers,2023-04-04,6,Lifinity
Signers,2023-04-04,3842,Raydium
Signers,2023-04-04,404,Serum
Fee Payers,2023-04-04,4,Step Finance
Signers,2023-04-04,4,Step Finance
Fee Payers,2023-04-04,1,GooseFX
Fee Payers,2023-04-04,22,Aldrin
Signers,2023-04-04,7,Saber
Fee Payers,2023-04-04,7,Saber
Fee Payers,2023-04-04,865,Orca
Signers,2023-04-04,8,Lifinity
Signers,2023-04-04,8452,Jupiter Aggregator
Signers,2023-04-04,3,Mango Markets
Fee Payers,2023-04-04,179,Openbook
Fee Payers,2023-04-04,8418,Jupiter Aggregator
Signers,2022-10-18,49339,Serum
Signers,2022-10-18,6,Invariant
Fee Payers,2022-10-18,2,Cykura
Signers,2022-10-18,95,Aldrin
Signers,2022-10-18,37,Saber
Fee Payers,2022-10-18,599,Serum
Signers,2022-10-18,8096,Jupiter Aggregator
Fee Payers,2022-10-18,2,GooseFX
Fee Payers,2022-10-18,24,Mercurial
Signers,2022-10-18,73247,Stepn
Signers,2022-10-18,7,Crema
Signers,2022-10-18,6,Step Finance
Signers,2022-10-18,5835,Orca
Fee Payers,2022-10-18,1771,Raydium
Fee Payers,2022-10-18,8062,Jupiter Aggregator
Fee Payers,2022-10-18,5,Step Finance
Signers,2022-10-18,124,Mango Markets
Fee Payers,2022-10-18,6,Invariant
Fee Payers,2022-10-18,5,Crema
Signers,2022-10-18,2,GooseFX
Fee Payers,2022-10-18,68,Mango Markets
Signers,2022-10-18,60,Mercurial
Signers,2022-10-18,9,Lifinity
Signers,2022-10-18,2,Cykura
Fee Payers,2022-10-18,979,Orca
Fee Payers,2022-10-18,15498,Stepn
Fee Payers,2022-10-18,69,Aldrin
Fee Payers,2022-10-18,6,Lifinity
Signers,2022-10-18,4909,Raydium
Fee Payers,2022-10-18,34,Saber
Signers,2023-05-07,3893,Openbook
Fee Payers,2023-05-07,7142,Raydium
Fee Payers,2023-05-07,20,Aldrin
Fee Payers,2023-05-07,1,GooseFX
Fee Payers,2023-05-07,6,Mercurial
Signers,2023-05-07,39645,Raydium
Fee Payers,2023-05-07,50,Serum
Fee Payers,2023-05-07,5,Lifinity
Signers,2023-05-07,79,Serum
Signers,2023-05-07,8,Saber
Fee Payers,2023-05-07,5070,Stepn
Signers,2023-05-07,7,Invariant
Fee Payers,2023-05-07,1526,Orca
Signers,2023-05-07,20219,Stepn
Fee Payers,2023-05-07,3,Invariant
Signers,2023-05-07,1,GooseFX
Signers,2023-05-07,12,Mercurial
Signers,2023-05-07,7,Step Finance
Signers,2023-05-07,32,Aldrin
Fee Payers,2023-05-07,8,Saber
Signers,2023-05-07,20847,Jupiter Aggregator
Fee Payers,2023-05-07,20825,Jupiter Aggregator
Fee Payers,2023-05-07,5,Step Finance
Signers,2023-05-07,8656,Orca
Signers,2023-05-07,5,Lifinity
Fee Payers,2023-05-07,335,Openbook
Signers,2023-02-11,26129,Stepn
Signers,2023-02-11,9905,Jupiter Aggregator
Fee Payers,2023-02-11,6765,Stepn
Signers,2023-02-11,2,GooseFX
Signers,2023-02-11,4,Step Finance
Signers,2023-02-11,5749,Orca
Fee Payers,2023-02-11,1,Mango Markets
Signers,2023-02-11,4,Lifinity
Fee Payers,2023-02-11,62,Serum
Signers,2023-02-11,6641,Raydium
Fee Payers,2023-02-11,3,Step Finance
Fee Payers,2023-02-11,1159,Orca
Fee Payers,2023-02-11,218,Openbook
Fee Payers,2023-02-11,4,Lifinity
Fee Payers,2023-02-11,9870,Jupiter Aggregator
Signers,2023-02-11,1,Mango Markets
Signers,2023-02-11,1334,Openbook
Signers,2023-02-11,1,Crema
Fee Payers,2023-02-11,1,Crema
Fee Payers,2023-02-11,1,Cykura
Fee Payers,2023-02-11,2,GooseFX
Signers,2023-02-11,58,Mercurial
Fee Payers,2023-02-11,20,Saber
Signers,2023-02-11,1,Cykura
Fee Payers,2023-02-11,19,Mercurial
Signers,2023-02-11,122,Aldrin
Signers,2023-02-11,21,Saber
Fee Payers,2023-02-11,2068,Raydium
Signers,2023-02-11,64,Serum
Fee Payers,2023-02-11,27,Aldrin
Signers,2022-10-02,18,Crema
Fee Payers,2022-10-02,9,Step Finance
Signers,2022-10-02,1,Invariant
Signers,2022-10-02,9792,Jupiter Aggregator
Signers,2022-10-02,7043,Orca
Fee Payers,2022-10-02,9774,Jupiter Aggregator
Fee Payers,2022-10-02,22,Mercurial
Signers,2022-10-02,32,Saber
Fee Payers,2022-10-02,1253,Orca
Fee Payers,2022-10-02,31,Saber
Fee Payers,2022-10-02,18,Crema
Fee Payers,2022-10-02,2376,Raydium
Signers,2022-10-02,3,GooseFX
Fee Payers,2022-10-02,1,Invariant
Fee Payers,2022-10-02,5,Cykura
Signers,2022-10-02,751,Mango Markets
Fee Payers,2022-10-02,19367,Stepn
Fee Payers,2022-10-02,3,GooseFX
Fee Payers,2022-10-02,81,Aldrin
Signers,2022-10-02,6678,Raydium
Signers,2022-10-02,54,Mercurial
Signers,2022-10-02,162,Aldrin
Signers,2022-10-02,11,Cykura
Fee Payers,2022-10-02,10,Lifinity
Signers,2022-10-02,13,Step Finance
Fee Payers,2022-10-02,638,Serum
Signers,2022-10-02,90677,Stepn
Fee Payers,2022-10-02,354,Mango Markets
Signers,2022-10-02,29215,Serum
Signers,2022-10-02,12,Lifinity
Fee Payers,2023-04-17,6,Step Finance
Signers,2023-04-17,19383,Stepn
Fee Payers,2023-04-17,5072,Stepn
Fee Payers,2023-04-17,5,Saber
Fee Payers,2023-04-17,58,Serum
Signers,2023-04-17,11163,Jupiter Aggregator
Signers,2023-04-17,3517,Raydium
Signers,2023-04-17,65,Serum
Fee Payers,2023-04-17,1599,Raydium
Fee Payers,2023-04-17,4,Lifinity
Signers,2023-04-17,48,Mercurial
Fee Payers,2023-04-17,1,GooseFX
Fee Payers,2023-04-17,13,Mercurial
Fee Payers,2023-04-17,1,Invariant
Fee Payers,2023-04-17,1808,Orca
Signers,2023-04-17,6,Saber
Signers,2023-04-17,8,Step Finance
Signers,2023-04-17,63688,Orca
Fee Payers,2023-04-17,1,Mango Markets
Signers,2023-04-17,4,Mango Markets
Fee Payers,2023-04-17,29,Aldrin
Signers,2023-04-17,49,Aldrin
Signers,2023-04-17,1,GooseFX
Fee Payers,2023-04-17,11109,Jupiter Aggregator
Signers,2023-04-17,1,Invariant
Signers,2023-04-17,4,Lifinity
Fee Payers,2023-04-17,194,Openbook
Signers,2023-04-17,1339,Openbook
Fee Payers,2022-11-24,7299,Jupiter Aggregator
Signers,2022-11-24,190,Aldrin
Signers,2022-11-24,9,Mango Markets
Fee Payers,2022-11-24,6,Lifinity
Signers,2022-11-24,7,Lifinity
Fee Payers,2022-11-24,68,Aldrin
Fee Payers,2022-11-24,254,Serum
Fee Payers,2022-11-24,1,GooseFX
Fee Payers,2022-11-24,9542,Stepn
Fee Payers,2022-11-24,1153,Raydium
Signers,2022-11-24,99,Mercurial
Signers,2022-11-24,6401,Raydium
Signers,2022-11-24,4,Step Finance
Signers,2022-11-24,1828,Openbook
Fee Payers,2022-11-24,3,Invariant
Fee Payers,2022-11-24,4,Mango Markets
Signers,2022-11-24,2,Cykura
Signers,2022-11-24,42524,Stepn
Signers,2022-11-24,3,Invariant
Fee Payers,2022-11-24,63,Openbook
Signers,2022-11-24,20,Saber
Signers,2022-11-24,1,GooseFX
Fee Payers,2022-11-24,830,Orca
Signers,2022-11-24,390,Serum
Fee Payers,2022-11-24,2,Cykura
Fee Payers,2022-11-24,3,Step Finance
Signers,2022-11-24,7565,Jupiter Aggregator
Fee Payers,2022-11-24,35,Mercurial
Fee Payers,2022-11-24,19,Saber
Signers,2022-11-24,6589,Orca
Signers,2023-05-10,9780,Orca
Fee Payers,2023-05-10,247,Openbook
Fee Payers,2023-05-10,1,Invariant
Fee Payers,2023-05-10,1581,Orca
Signers,2023-05-10,10,Saber
Signers,2023-05-10,43,Aldrin
Fee Payers,2023-05-10,10,Saber
Fee Payers,2023-05-10,1,Cykura
Fee Payers,2023-05-10,6769,Raydium
Fee Payers,2023-05-10,18174,Jupiter Aggregator
Signers,2023-05-10,42108,Raydium
Signers,2023-05-10,24,Invariant
Signers,2023-05-10,1,GooseFX
Signers,2023-05-10,18025,Stepn
Signers,2023-05-10,16,Mercurial
Signers,2023-05-10,18208,Jupiter Aggregator
Fee Payers,2023-05-10,5,Lifinity
Fee Payers,2023-05-10,1,GooseFX
Signers,2023-05-10,69,Serum
Signers,2023-05-10,1,Cykura
Signers,2023-05-10,2605,Openbook
Fee Payers,2023-05-10,7,Mercurial
Fee Payers,2023-05-10,4688,Stepn
Fee Payers,2023-05-10,68,Serum
Fee Payers,2023-05-10,4,Step Finance
Signers,2023-05-10,5,Step Finance
Signers,2023-05-10,5,Lifinity
Fee Payers,2023-05-10,28,Aldrin
Fee Payers,2023-02-27,1205,Orca
Fee Payers,2023-02-27,1,Invariant
Fee Payers,2023-02-27,7,Lifinity
Fee Payers,2023-02-27,2162,Raydium
Fee Payers,2023-02-27,15,Mercurial
Signers,2023-02-27,1,Invariant
Fee Payers,2023-02-27,3,Step Finance
Signers,2023-02-27,1,GooseFX
Signers,2023-02-27,60,Mercurial
Fee Payers,2023-02-27,42,Aldrin
Fee Payers,2023-02-27,8,Saber
Signers,2023-02-27,5560,Raydium
Signers,2023-02-27,31951,Stepn
Signers,2023-02-27,4,Step Finance
Signers,2023-02-27,10572,Jupiter Aggregator
Fee Payers,2023-02-27,197,Openbook
Fee Payers,2023-02-27,1,GooseFX
Signers,2023-02-27,6117,Orca
Signers,2023-02-27,296,Aldrin
Signers,2023-02-27,1317,Openbook
Signers,2023-02-27,53,Serum
Fee Payers,2023-02-27,8131,Stepn
Signers,2023-02-27,7,Lifinity
Signers,2023-02-27,8,Saber
Fee Payers,2023-02-27,10517,Jupiter Aggregator
Fee Payers,2023-02-27,48,Serum
Fee Payers,2022-12-12,23,Saber
Signers,2022-12-12,3480,Orca
Signers,2022-12-12,24,Saber
Signers,2022-12-12,2,Invariant
Fee Payers,2022-12-12,2,Cykura
Fee Payers,2022-12-12,8583,Stepn
Fee Payers,2022-12-12,750,Orca
Signers,2022-12-12,1,GooseFX
Signers,2022-12-12,6761,Jupiter Aggregator
Signers,2022-12-12,125,Mercurial
Signers,2022-12-12,3,Cykura
Fee Payers,2022-12-12,2,Invariant
Signers,2022-12-12,4,Step Finance
Signers,2022-12-12,2092,Raydium
Signers,2022-12-12,8,Lifinity
Signers,2022-12-12,4,Mango Markets
Fee Payers,2022-12-12,994,Raydium
Signers,2022-12-12,123,Aldrin
Fee Payers,2022-12-12,6728,Jupiter Aggregator
Fee Payers,2022-12-12,2,Mango Markets
Fee Payers,2022-12-12,56,Aldrin
Fee Payers,2022-12-12,1,GooseFX
Signers,2022-12-12,215,Openbook
Fee Payers,2022-12-12,83,Openbook
Signers,2022-12-12,35369,Stepn
Fee Payers,2022-12-12,228,Serum
Fee Payers,2022-12-12,4,Step Finance
Fee Payers,2022-12-12,30,Mercurial
Fee Payers,2022-12-12,7,Lifinity
Signers,2022-12-12,299,Serum
Fee Payers,2023-01-27,5,Step Finance
Signers,2023-01-27,2,Cykura
Fee Payers,2023-01-27,10,Saber
Fee Payers,2023-01-27,3,Invariant
Signers,2023-01-27,16043,Jupiter Aggregator
Fee Payers,2023-01-27,7,Lifinity
Signers,2023-01-27,3,Invariant
Signers,2023-01-27,21947,Raydium
Fee Payers,2023-01-27,2,Cykura
Fee Payers,2023-01-27,15914,Jupiter Aggregator
Fee Payers,2023-01-27,12011,Stepn
Signers,2023-01-27,142,Serum
Fee Payers,2023-01-27,8,Mango Markets
Signers,2023-01-27,10,Saber
Fee Payers,2023-01-27,15,Mercurial
Fee Payers,2023-01-27,4610,Raydium
Signers,2023-01-27,7,Lifinity
Fee Payers,2023-01-27,117,Serum
Signers,2023-01-27,55,Mercurial
Signers,2023-01-27,9152,Orca
Signers,2023-01-27,24,Mango Markets
Fee Payers,2023-01-27,358,Openbook
Fee Payers,2023-01-27,2,GooseFX
Fee Payers,2023-01-27,1450,Orca
Signers,2023-01-27,41557,Stepn
Signers,2023-01-27,2,GooseFX
Signers,2023-01-27,343,Aldrin
Signers,2023-01-27,1857,Openbook
Signers,2023-01-27,8,Step Finance
Fee Payers,2023-01-27,50,Aldrin
Signers,2023-06-18T00:00:00.000Z,3,Saber
Signers,2023-06-18T00:00:00.000Z,1,Invariant
Signers,2023-06-18T00:00:00.000Z,2,Mango Markets
Signers,2023-06-18T00:00:00.000Z,4089,Orca
Signers,2023-06-18T00:00:00.000Z,3,Step Finance
Signers,2023-06-18T00:00:00.000Z,6,Aldrin
Fee Payers,2023-06-18T00:00:00.000Z,6,Aldrin
Signers,2023-06-18T00:00:00.000Z,2,Mercurial
Fee Payers,2023-06-18T00:00:00.000Z,1,Invariant
Fee Payers,2023-06-18T00:00:00.000Z,1,GooseFX
Fee Payers,2023-06-18T00:00:00.000Z,5786,Jupiter Aggregator
Signers,2023-06-18T00:00:00.000Z,39,Serum
Signers,2023-06-18T00:00:00.000Z,1,GooseFX
Fee Payers,2023-06-18T00:00:00.000Z,5811,Stepn
Fee Payers,2023-06-18T00:00:00.000Z,7,Lifinity
Fee Payers,2023-06-18T00:00:00.000Z,1,Mercurial
Fee Payers,2023-06-18T00:00:00.000Z,56,Openbook
Fee Payers,2023-06-18T00:00:00.000Z,3,Saber
Fee Payers,2023-06-18T00:00:00.000Z,1,Mango Markets
Signers,2023-06-18T00:00:00.000Z,5803,Jupiter Aggregator
Signers,2023-06-18T00:00:00.000Z,22396,Stepn
Fee Payers,2023-06-18T00:00:00.000Z,704,Orca
Fee Payers,2023-06-18T00:00:00.000Z,3,Step Finance
Signers,2023-06-18T00:00:00.000Z,11,Lifinity
Signers,2023-06-18T00:00:00.000Z,116,Openbook
Fee Payers,2023-06-18T00:00:00.000Z,37,Serum
Signers,2023-06-18T00:00:00.000Z,1947,Raydium
Fee Payers,2023-06-18T00:00:00.000Z,1092,Raydium
Fee Payers,2022-10-23,28,Saber
Signers,2022-10-23,2,GooseFX
Fee Payers,2022-10-23,20,Mercurial
Signers,2022-10-23,32,Saber
Fee Payers,2022-10-23,4,Step Finance
Signers,2022-10-23,5,Step Finance
Fee Payers,2022-10-23,6527,Jupiter Aggregator
Fee Payers,2022-10-23,6,Lifinity
Signers,2022-10-23,4039,Raydium
Signers,2022-10-23,4900,Orca
Signers,2022-10-23,1,Cykura
Fee Payers,2022-10-23,2,Invariant
Fee Payers,2022-10-23,1489,Raydium
Signers,2022-10-23,385,Aldrin
Signers,2022-10-23,6559,Jupiter Aggregator
Fee Payers,2022-10-23,13391,Stepn
Fee Payers,2022-10-23,2,GooseFX
Fee Payers,2022-10-23,84,Aldrin
Signers,2022-10-23,60453,Stepn
Signers,2022-10-23,31,Mango Markets
Signers,2022-10-23,8,Lifinity
Fee Payers,2022-10-23,1,Cykura
Fee Payers,2022-10-23,841,Orca
Fee Payers,2022-10-23,22,Mango Markets
Signers,2022-10-23,2,Invariant
Fee Payers,2022-10-23,398,Serum
Signers,2022-10-23,52,Mercurial
Signers,2022-10-23,48037,Serum
Signers,2023-05-14,7,Saber
Signers,2023-05-14,12676,Raydium
Fee Payers,2023-05-14,11985,Jupiter Aggregator
Fee Payers,2023-05-14,4,Mercurial
Fee Payers,2023-05-14,3459,Raydium
Signers,2023-05-14,4,Lifinity
Fee Payers,2023-05-14,3,Step Finance
Signers,2023-05-14,18922,Stepn
Signers,2023-05-14,6358,Orca
Fee Payers,2023-05-14,1159,Orca
Signers,2023-05-14,7,Mercurial
Fee Payers,2023-05-14,224,Openbook
Signers,2023-05-14,3,Step Finance
Signers,2023-05-14,12008,Jupiter Aggregator
Fee Payers,2023-05-14,4792,Stepn
Signers,2023-05-14,33,Serum
Fee Payers,2023-05-14,1,GooseFX
Fee Payers,2023-05-14,28,Serum
Signers,2023-05-14,2401,Openbook
Fee Payers,2023-05-14,4,Lifinity
Signers,2023-05-14,1,GooseFX
Fee Payers,2023-05-14,20,Aldrin
Fee Payers,2023-05-14,6,Saber
Signers,2023-05-14,38,Aldrin
Fee Payers,2023-03-23,1,Invariant
Fee Payers,2023-03-23,8,Mercurial
Fee Payers,2023-03-23,2,GooseFX
Signers,2023-03-23,9,Saber
Fee Payers,2023-03-23,9,Lifinity
Signers,2023-03-23,20,Mercurial
Fee Payers,2023-03-23,31,Aldrin
Signers,2023-03-23,7510,Orca
Fee Payers,2023-03-23,8736,Jupiter Aggregator
Signers,2023-03-23,23866,Stepn
Signers,2023-03-23,1,Invariant
Signers,2023-03-23,3432,Raydium
Signers,2023-03-23,61,Aldrin
Signers,2023-03-23,10,Lifinity
Signers,2023-03-23,1632,Openbook
Fee Payers,2023-03-23,171,Openbook
Fee Payers,2023-03-23,2,Mango Markets
Signers,2023-03-23,2,GooseFX
Signers,2023-03-23,3,Mango Markets
Signers,2023-03-23,4,Step Finance
Signers,2023-03-23,41,Serum
Fee Payers,2023-03-23,6146,Stepn
Fee Payers,2023-03-23,4,Step Finance
Fee Payers,2023-03-23,9,Saber
Fee Payers,2023-03-23,985,Orca
Fee Payers,2023-03-23,1424,Raydium
Signers,2023-03-23,8784,Jupiter Aggregator
Fee Payers,2023-03-23,41,Serum
Signers,2023-03-21,10,Saber
Signers,2023-03-21,1707,Openbook
Fee Payers,2023-03-21,8774,Jupiter Aggregator
Signers,2023-03-21,1,Invariant
Signers,2023-03-21,67,Aldrin
Fee Payers,2023-03-21,28,Serum
Signers,2023-03-21,25303,Stepn
Signers,2023-03-21,5598,Raydium
Signers,2023-03-21,8817,Jupiter Aggregator
Fee Payers,2023-03-21,1,Invariant
Fee Payers,2023-03-21,1555,Raydium
Fee Payers,2023-03-21,36,Aldrin
Fee Payers,2023-03-21,1057,Orca
Fee Payers,2023-03-21,10,Saber
Fee Payers,2023-03-21,6636,Stepn
Signers,2023-03-21,9972,Orca
Signers,2023-03-21,27,Mercurial
Signers,2023-03-21,3,Step Finance
Signers,2023-03-21,56,Serum
Fee Payers,2023-03-21,6,Lifinity
Fee Payers,2023-03-21,1,Cykura
Fee Payers,2023-03-21,3,Step Finance
Fee Payers,2023-03-21,9,Mercurial
Fee Payers,2023-03-21,185,Openbook
Signers,2023-03-21,1,Cykura
Signers,2023-03-21,2,GooseFX
Fee Payers,2023-03-21,2,GooseFX
Signers,2023-03-21,6,Lifinity
Signers,2023-05-17,53,Serum
Fee Payers,2023-05-17,1,Mango Markets
Fee Payers,2023-05-17,4749,Stepn
Fee Payers,2023-05-17,1,GooseFX
Signers,2023-05-17,7952,Orca
Fee Payers,2023-05-17,46,Serum
Signers,2023-05-17,11,Mercurial
Signers,2023-05-17,16,Aldrin
Fee Payers,2023-05-17,12,Aldrin
Fee Payers,2023-05-17,8,Lifinity
Fee Payers,2023-05-17,4,Step Finance
Signers,2023-05-17,13059,Jupiter Aggregator
Signers,2023-05-17,18437,Stepn
Fee Payers,2023-05-17,3226,Raydium
Fee Payers,2023-05-17,279,Openbook
Signers,2023-05-17,8,Lifinity
Signers,2023-05-17,14615,Raydium
Fee Payers,2023-05-17,6,Saber
Fee Payers,2023-05-17,5,Mercurial
Signers,2023-05-17,2,Invariant
Signers,2023-05-17,1,GooseFX
Fee Payers,2023-05-17,13030,Jupiter Aggregator
Fee Payers,2023-05-17,1380,Orca
Fee Payers,2023-05-17,1,Invariant
Signers,2023-05-17,6,Saber
Signers,2023-05-17,4,Step Finance
Signers,2023-05-17,1,Mango Markets
Signers,2023-05-17,2311,Openbook
Fee Payers,2023-02-17,35,Aldrin
Fee Payers,2023-02-17,6541,Stepn
Fee Payers,2023-02-17,244,Openbook
Fee Payers,2023-02-17,1,GooseFX
Signers,2023-02-17,2,Step Finance
Signers,2023-02-17,4,Lifinity
Signers,2023-02-17,2,Mango Markets
Signers,2023-02-17,2,Invariant
Fee Payers,2023-02-17,2,Invariant
Signers,2023-02-17,1,GooseFX
Fee Payers,2023-02-17,4,Lifinity
Fee Payers,2023-02-17,2,Step Finance
Signers,2023-02-17,15,Saber
Fee Payers,2023-02-17,1451,Orca
Fee Payers,2023-02-17,75,Serum
Signers,2023-02-17,62,Aldrin
Signers,2023-02-17,7751,Orca
Signers,2023-02-17,102,Serum
Signers,2023-02-17,24970,Stepn
Fee Payers,2023-02-17,1,Mango Markets
Fee Payers,2023-02-17,14,Saber
Signers,2023-02-17,11778,Jupiter Aggregator
Signers,2023-02-17,4988,Raydium
Signers,2023-02-17,1303,Openbook
Fee Payers,2023-02-17,2030,Raydium
Fee Payers,2023-02-17,8,Mercurial
Fee Payers,2023-02-17,11750,Jupiter Aggregator
Signers,2023-02-17,22,Mercurial
Fee Payers,2023-07-17T00:00:00.000Z,7735,Jupiter Aggregator
Signers,2023-07-17T00:00:00.000Z,2,Step Finance
Fee Payers,2023-07-17T00:00:00.000Z,4,Invariant
