TYPE,DATE,WALLETS,DEX
Signers,2023-07-14T00:00:00.000Z,3,Invariant
Fee Payers,2023-07-14T00:00:00.000Z,176,Serum
Fee Payers,2023-07-14T00:00:00.000Z,1911,Orca
Fee Payers,2023-07-14T00:00:00.000Z,10781,Jupiter Aggregator
Signers,2023-07-14T00:00:00.000Z,4,Lifinity
Signers,2023-07-14T00:00:00.000Z,403,Openbook
Fee Payers,2023-07-14T00:00:00.000Z,1810,Raydium
Signers,2023-07-14T00:00:00.000Z,4,Step Finance
Fee Payers,2023-07-14T00:00:00.000Z,4916,Stepn
Signers,2023-07-14T00:00:00.000Z,15,Saber
Signers,2023-07-14T00:00:00.000Z,1,Mango Markets
Fee Payers,2023-07-14T00:00:00.000Z,2,Cykura
Fee Payers,2023-07-14T00:00:00.000Z,3,Step Finance
Signers,2023-07-14T00:00:00.000Z,4296,Raydium
Fee Payers,2023-07-14T00:00:00.000Z,15,Aldrin
Signers,2023-07-14T00:00:00.000Z,19448,Orca
Fee Payers,2023-07-14T00:00:00.000Z,136,Openbook
Signers,2023-07-14T00:00:00.000Z,10831,Jupiter Aggregator
Fee Payers,2023-07-14T00:00:00.000Z,10,Saber
Fee Payers,2023-07-14T00:00:00.000Z,3,Mercurial
Fee Payers,2022-12-28,26,Saber
Signers,2022-12-28,1185,Openbook
Signers,2022-12-28,2,Mango Markets
Fee Payers,2022-12-28,1230,Raydium
Fee Payers,2022-12-28,12642,Jupiter Aggregator
Signers,2022-12-28,27,Saber
Signers,2022-12-28,3256,Raydium
Signers,2022-12-28,575,Serum
Fee Payers,2022-12-28,1225,Orca
Fee Payers,2022-12-28,4,Lifinity
Signers,2022-12-28,2,Invariant
Fee Payers,2022-12-28,2,Invariant
Signers,2022-12-28,1,GooseFX
Fee Payers,2022-12-28,27,Mercurial
Fee Payers,2022-12-28,470,Serum
Fee Payers,2022-12-28,129,Openbook
Signers,2022-12-28,13080,Jupiter Aggregator
Signers,2022-12-28,53,Aldrin
Fee Payers,2022-12-28,11336,Stepn
Signers,2022-12-28,66,Mercurial
Signers,2022-12-28,7,Step Finance
Fee Payers,2022-12-28,41,Aldrin
Signers,2022-12-28,9773,Orca
Signers,2022-12-28,4,Lifinity
Signers,2022-12-28,43071,Stepn
Fee Payers,2022-12-28,2,Mango Markets
Fee Payers,2022-12-28,1,GooseFX
Fee Payers,2022-12-28,4,Step Finance
Signers,2023-08-15T00:00:00.000Z,7,Saber
Fee Payers,2023-08-15T00:00:00.000Z,7,Saber
Fee Payers,2023-08-15T00:00:00.000Z,1,Mango Markets
Fee Payers,2023-08-15T00:00:00.000Z,90,Openbook
Fee Payers,2023-08-15T00:00:00.000Z,3767,Stepn
Signers,2023-08-15T00:00:00.000Z,7307,Jupiter Aggregator
Signers,2023-08-15T00:00:00.000Z,207,Openbook
Signers,2023-08-15T00:00:00.000Z,9377,Orca
Fee Payers,2023-08-15T00:00:00.000Z,1,Aldrin
Signers,2023-08-15T00:00:00.000Z,1,Mango Markets
Signers,2023-08-15T00:00:00.000Z,18,Serum
Fee Payers,2023-08-15T00:00:00.000Z,7277,Jupiter Aggregator
Fee Payers,2023-08-15T00:00:00.000Z,1080,Orca
Fee Payers,2023-08-15T00:00:00.000Z,3,Mercurial
Signers,2023-08-15T00:00:00.000Z,3,Step Finance
Fee Payers,2023-08-15T00:00:00.000Z,2,Invariant
Signers,2023-08-15T00:00:00.000Z,4,Lifinity
Signers,2023-08-15T00:00:00.000Z,5,Invariant
Signers,2023-08-15T00:00:00.000Z,15001,Stepn
Signers,2023-08-15T00:00:00.000Z,6,Mercurial
Fee Payers,2023-08-15T00:00:00.000Z,3,Step Finance
Signers,2023-08-15T00:00:00.000Z,1,Aldrin
Fee Payers,2023-08-15T00:00:00.000Z,4,Lifinity
Fee Payers,2023-08-15T00:00:00.000Z,15,Serum
Signers,2023-08-15T00:00:00.000Z,1723,Raydium
Fee Payers,2023-08-15T00:00:00.000Z,1258,Raydium
Signers,2022-11-05,105583,Stepn
Fee Payers,2022-11-05,9,Lifinity
Fee Payers,2022-11-05,11413,Jupiter Aggregator
Signers,2022-11-05,32,Mango Markets
Signers,2022-11-05,11,Lifinity
Signers,2022-11-05,11616,Jupiter Aggregator
Fee Payers,2022-11-05,27,Saber
Signers,2022-11-05,184,Aldrin
Fee Payers,2022-11-05,5,GooseFX
Signers,2022-11-05,29,Saber
Fee Payers,2022-11-05,2298,Raydium
Signers,2022-11-05,2,Cykura
Signers,2022-11-05,62943,Serum
Fee Payers,2022-11-05,33,Mercurial
Fee Payers,2022-11-05,821,Serum
Fee Payers,2022-11-05,2,Cykura
Fee Payers,2022-11-05,5,Step Finance
Signers,2022-11-05,5,GooseFX
Signers,2022-11-05,10144,Raydium
Signers,2022-11-05,12,Invariant
Signers,2022-11-05,8,Step Finance
Signers,2022-11-05,13711,Orca
Fee Payers,2022-11-05,8,Invariant
Fee Payers,2022-11-05,1516,Orca
Fee Payers,2022-11-05,85,Aldrin
Signers,2022-11-05,102,Mercurial
Fee Payers,2022-11-05,20,Mango Markets
Fee Payers,2022-11-05,28002,Stepn
Signers,2023-01-12,3,Step Finance
Fee Payers,2023-01-12,9209,Raydium
Fee Payers,2023-01-12,51,Aldrin
Fee Payers,2023-01-12,7,Lifinity
Fee Payers,2023-01-12,7473,Stepn
Fee Payers,2023-01-12,1,Mango Markets
Signers,2023-01-12,1,Cykura
Fee Payers,2023-01-12,188,Serum
Signers,2023-01-12,1,GooseFX
Signers,2023-01-12,253,Serum
Fee Payers,2023-01-12,1,GooseFX
Signers,2023-01-12,2,Mango Markets
Signers,2023-01-12,28514,Stepn
Fee Payers,2023-01-12,2145,Orca
Signers,2023-01-12,8,Lifinity
Fee Payers,2023-01-12,2,Step Finance
Fee Payers,2023-01-12,2,Invariant
Signers,2023-01-12,23167,Jupiter Aggregator
Signers,2023-01-12,73,Mercurial
Fee Payers,2023-01-12,17,Saber
Signers,2023-01-12,9776,Orca
Signers,2023-01-12,33065,Raydium
Signers,2023-01-12,105,Aldrin
Signers,2023-01-12,1715,Openbook
Signers,2023-01-12,2,Invariant
Fee Payers,2023-01-12,24,Mercurial
Fee Payers,2023-01-12,1,Cykura
Fee Payers,2023-01-12,344,Openbook
Signers,2023-01-12,18,Saber
Fee Payers,2023-01-12,23043,Jupiter Aggregator
Signers,2023-05-27,6,Mango Markets
Fee Payers,2023-05-27,18,Aldrin
Fee Payers,2023-05-27,61,Serum
Signers,2023-05-27,62,Serum
Fee Payers,2023-05-27,3,Mercurial
Fee Payers,2023-05-27,1131,Orca
Signers,2023-05-27,5,Mercurial
Signers,2023-05-27,496,Openbook
Fee Payers,2023-05-27,1,GooseFX
Signers,2023-05-27,14590,Jupiter Aggregator
Fee Payers,2023-05-27,128,Openbook
Signers,2023-05-27,23,Aldrin
Signers,2023-05-27,9,Saber
Signers,2023-05-27,5730,Orca
Fee Payers,2023-05-27,2,Mango Markets
Signers,2023-05-27,4,Lifinity
Fee Payers,2023-05-27,4,Step Finance
Fee Payers,2023-05-27,1882,Raydium
Fee Payers,2023-05-27,4,Lifinity
Signers,2023-05-27,5288,Raydium
Fee Payers,2023-05-27,7,Saber
Signers,2023-05-27,5,Step Finance
Signers,2023-05-27,16780,Stepn
Signers,2023-05-27,1,GooseFX
Fee Payers,2023-05-27,14568,Jupiter Aggregator
Fee Payers,2023-05-27,4291,Stepn
Signers,2023-02-16,1223,Openbook
Fee Payers,2023-02-16,2276,Raydium
Fee Payers,2023-02-16,7848,Stepn
Signers,2023-02-16,73,Serum
Signers,2023-02-16,11085,Raydium
Fee Payers,2023-02-16,6,Lifinity
Fee Payers,2023-02-16,288,Openbook
Signers,2023-02-16,28,Lifinity
Fee Payers,2023-02-16,16,Mercurial
Fee Payers,2023-02-16,60,Serum
Fee Payers,2023-02-16,1,GooseFX
Signers,2023-02-16,45,Mercurial
Fee Payers,2023-02-16,1755,Orca
Signers,2023-02-16,16,Saber
Signers,2023-02-16,1,Invariant
Signers,2023-02-16,14,Step Finance
Signers,2023-02-16,28933,Stepn
Fee Payers,2023-02-16,15,Saber
Signers,2023-02-16,9,Mango Markets
Fee Payers,2023-02-16,1,Invariant
Fee Payers,2023-02-16,5,Step Finance
Fee Payers,2023-02-16,4,Mango Markets
Fee Payers,2023-02-16,39,Aldrin
Signers,2023-02-16,304,Aldrin
Signers,2023-02-16,9666,Orca
Fee Payers,2023-02-16,15930,Jupiter Aggregator
Signers,2023-02-16,15976,Jupiter Aggregator
Signers,2023-02-16,1,GooseFX
Fee Payers,2023-07-07T00:00:00.000Z,1339,Raydium
Signers,2023-07-07T00:00:00.000Z,3,Lifinity
Fee Payers,2023-07-07T00:00:00.000Z,33,Serum
Fee Payers,2023-07-07T00:00:00.000Z,1037,Orca
Fee Payers,2023-07-07T00:00:00.000Z,3,Step Finance
Fee Payers,2023-07-07T00:00:00.000Z,4493,Stepn
Signers,2023-07-07T00:00:00.000Z,17581,Stepn
Signers,2023-07-07T00:00:00.000Z,4,Aldrin
Fee Payers,2023-07-07T00:00:00.000Z,6894,Jupiter Aggregator
Signers,2023-07-07T00:00:00.000Z,19,Invariant
Fee Payers,2023-07-07T00:00:00.000Z,2,Mango Markets
Fee Payers,2023-07-07T00:00:00.000Z,107,Openbook
Fee Payers,2023-07-07T00:00:00.000Z,2,Mercurial
Signers,2023-07-07T00:00:00.000Z,4,Step Finance
Signers,2023-07-07T00:00:00.000Z,2,Mango Markets
Signers,2023-07-07T00:00:00.000Z,2729,Raydium
Fee Payers,2023-07-07T00:00:00.000Z,1,GooseFX
Signers,2023-07-07T00:00:00.000Z,6,Mercurial
Signers,2023-07-07T00:00:00.000Z,277,Openbook
Fee Payers,2023-07-07T00:00:00.000Z,9,Saber
Signers,2023-07-07T00:00:00.000Z,1,GooseFX
Fee Payers,2023-07-07T00:00:00.000Z,3,Lifinity
Signers,2023-07-07T00:00:00.000Z,6949,Jupiter Aggregator
Signers,2023-07-07T00:00:00.000Z,10,Saber
Signers,2023-07-07T00:00:00.000Z,13039,Orca
Fee Payers,2023-07-07T00:00:00.000Z,7,Invariant
Fee Payers,2023-07-07T00:00:00.000Z,4,Aldrin
Signers,2023-07-07T00:00:00.000Z,36,Serum
Fee Payers,2023-04-29,4,Step Finance
Signers,2023-04-29,1,Invariant
Signers,2023-04-29,7,Lifinity
Fee Payers,2023-04-29,53,Serum
Signers,2023-04-29,1,Cykura
Signers,2023-04-29,3282,Raydium
Signers,2023-04-29,7,Saber
Fee Payers,2023-04-29,1253,Raydium
Signers,2023-04-29,12,Mercurial
Fee Payers,2023-04-29,6,Mercurial
Fee Payers,2023-04-29,1655,Orca
Signers,2023-04-29,20703,Stepn
Signers,2023-04-29,62,Serum
Signers,2023-04-29,4,Step Finance
Signers,2023-04-29,2,GooseFX
Signers,2023-04-29,12409,Jupiter Aggregator
Fee Payers,2023-04-29,116,Openbook
Fee Payers,2023-04-29,5,Lifinity
Fee Payers,2023-04-29,7,Saber
Fee Payers,2023-04-29,1,Invariant
Fee Payers,2023-04-29,1,Cykura
Fee Payers,2023-04-29,2,GooseFX
Fee Payers,2023-04-29,12363,Jupiter Aggregator
Signers,2023-04-29,9431,Orca
Signers,2023-04-29,1070,Openbook
Fee Payers,2023-04-29,5263,Stepn
Signers,2023-04-29,27,Aldrin
Fee Payers,2023-04-29,16,Aldrin
Fee Payers,2022-12-02,25,Saber
Signers,2022-12-02,10,Lifinity
Fee Payers,2022-12-02,8291,Stepn
Fee Payers,2022-12-02,2,Invariant
Signers,2022-12-02,172,Aldrin
Signers,2022-12-02,17,Mango Markets
Fee Payers,2022-12-02,6820,Jupiter Aggregator
Signers,2022-12-02,353,Serum
Signers,2022-12-02,3571,Orca
